,Course_Code,Course_Name,R1_Points,R2_Points
458,TR056,Human Health and Disease,601,
459,TR060,Biological and Biomedical Sciences,578,577
460,TR061,Chemical Sciences,558,554
461,TR062,Geography and Geoscience,495,
462,TR063,Physical Sciences,554,543
463,TR064,Environmental Science and Engineering,555,
464,TR072,Pharmacy,613,613
465,TR080,Global Business,613,
466,TR081,Business,Economic and Social Studies (BESS),577
467,TR084,Social Studies (Social Work),497,487
468,TR085,Business Studies and French,564,
469,TR086,Business Studies and German,530,
470,TR087,Business Studies and Russian,487,
471,TR089,Business Studies and Polish,391,
472,TR090,Business Studies and Spanish,566,
473,TR091,General Nursing (Meath and St James`s),462,456
474,TR093,General Nursing (Adelaide School of Nursing),473,
475,TR095,Mental Health Nursing,442,
476,TR097,Intellectual Disability Nursing,412,410
477,TR911,Children`s and General Nursing (Integrated),531,
478,TR913,Midwifery,521,
479,DN100,Architecture,555,
480,DN120,Landscape Architecture,463,435
481,DN130,City Planning and Environmental Policy,445,424
482,DN150,Engineering (Common Entry),565,
483,DN200,Science (options),577,567
484,DN201,Computer Science (Common Entry),554,549
485,DN230,Actuarial and Financial Studies,613,613
486,DN240,Sustainability,510,
487,DN250,Agricultural Science (options),454,444
488,DN261,Food Science,531,
489,DN262,Human Nutrition,566,
490,DN300,Veterinary Medicine - Undergraduate Entry,601,
491,DN310,Veterinary Nursing,521,509
492,DN400,Medicine - Undergraduate Entry (HPAT required),743,
493,DN410,Radiography,566,566
494,DN420,Physiotherapy,601,601
495,DN425,Health and Performance Science,544,543
496,DN430,Sport and Exercise Management,484,476
497,DN440,Biomedical,Health and Life Sciences,613
498,DN450,General Nursing,462,
499,DN451,Children`s and General Nursing (Integrated),533,
500,DN452,Midwifery,510,509
501,DN453,Mental Health Nursing,442,
502,DN520,Joint Honours (options),381,378
503,DN530,Humanities (options),397,388
504,DN541,Modern Languages (options),320,
505,DN600,Law (options),576,567
506,DN610,Business and Law,573,567
507,DN650,Commerce,555,
508,DN660,Commerce International (options),555,554
509,DN670,Economics and Finance,625,625
510,DN700,Social Sciences (options),475,474
511,DN710,Economics,534,532
512,DN720,Psychology,566,564
513,DN750,Social Policy and Sociology,421,
514,DK810,Accounting and Finance,307,307
515,DK816,Business Studies,301,301
516,DK820,Computing in Games Development,309,309
517,DK821,Computing in Software Development,320,316
518,DK822,Augmented and Virtual Reality,320,320
519,DK830,Building Surveying,305,
520,DK831,Architectural Technology,368,314
521,DK832,Construction Management,358,305
522,DK843,Engineering (Common Entry),404,391
523,DK844,Mechanical Engineering,336,336
524,DK845,Electrical and Electronic Engineering,331,331
525,DK846,Civil Engineering,371,371
526,DK850,International Tourism Management,303,303
527,DK861,Arts,302,302
528,DK862,Social Care,322,319
529,DK863,Creative Media,336,320
530,DK864,Film and Television Production,308,
531,DK865,Audio and Music Production,352,
532,DK870,General Nursing,440,440
533,DK872,Intellectual Disability Nursing,367,366
534,DK874,Mental Health Nursing,398,
535,DK876,Early Childhood Studies,300,
536,DK877,Midwifery,482,477
537,DK880,Health and Physical Activity,301,
538,DK882,Agriculture (Award options),342,
539,DK883,Science (Award options),373,368
540,DK884,Sustainable Agriculture,348,
541,DK886,Biopharmaceutical Science,379,
542,DK887,Environmental Science,377,
543,GA181,Accounting,303,
544,GA182,Business,285,
545,GA183,Business Information Systems,298,
546,GA184,Marketing and Sales,300,
547,GA185,Finance and Economics,318,
548,GA186,Business with Entrepreneurship,287,
549,GA187,Rural Enterprise and Agri-Business,291,
550,GA281,Film and Documentary,310,301
551,GA282,Heritage Studies,252,
