,Course_Code,Course_Name,R1_Points21,R2_Points21
473,TR064,Environmental Science and Engineering,555.0,
474,TR072,Pharmacy,613.0,613.0
475,TR080,Global Business,613.0,
476,TR081,Business  Economic and Social Studies (BESS),577.0,567.0
477,TR084,Social Studies (Social Work),497.0,487.0
478,TR085,Business Studies and French,564.0,
479,TR086,Business Studies and German,530.0,
480,TR087,Business Studies and Russian,487.0,
481,TR089,Business Studies and Polish,391.0,
482,TR090,Business Studies and Spanish,566.0,
483,TR091,General Nursing (Meath and St James`s),462.0,456.0
484,TR093,General Nursing (Adelaide School of Nursing),473.0,
485,TR095,Mental Health Nursing,442.0,
486,TR097,Intellectual Disability Nursing,412.0,410.0
487,TR911,Children`s and General Nursing (Integrated),531.0,
488,TR913,Midwifery,521.0,
489,DN100,Architecture,555.0,
490,DN120,Landscape Architecture,463.0,435.0
491,DN130,City Planning and Environmental Policy,445.0,424.0
492,DN150,Engineering (Common Entry),565.0,
493,DN200,Science (options),577.0,567.0
494,DN201,Computer Science (Common Entry),554.0,549.0
495,DN230,Actuarial and Financial Studies,613.0,613.0
496,DN240,Sustainability,510.0,
497,DN250,Agricultural Science (options),454.0,444.0
498,DN261,Food Science,531.0,
499,DN262,Human Nutrition,566.0,
500,DN300,Veterinary Medicine - Undergraduate Entry,601.0,
501,DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,,
502,DN310,Veterinary Nursing,521.0,509.0
503,DN400,Medicine - Undergraduate Entry (HPAT required),743.0,
504,DN401,Medicine - Graduate Entry (GAMSAT required),61.0,
505,DN410,Radiography,566.0,566.0
506,DN411,Radiography - Graduate Entry,,
507,DN420,Physiotherapy,601.0,601.0
508,DN425,Health and Performance Science,544.0,543.0
509,DN430,Sport and Exercise Management,484.0,476.0
510,DN440,Biomedical  Health and Life Sciences,613.0,613.0
511,DN450,General Nursing,462.0,
512,DN451,Children`s and General Nursing (Integrated),533.0,
513,DN452,Midwifery,510.0,509.0
514,DN453,Mental Health Nursing,442.0,
515,DN520,Joint Honours (options),381.0,378.0
516,DN530,Humanities (options),397.0,388.0
517,DN541,Modern Languages (options),320.0,
518,DN600,Law (options),576.0,567.0
519,DN610,Business and Law,573.0,567.0
520,DN650,Commerce,555.0,
521,DN660,Commerce International (options),555.0,554.0
522,DN670,Economics and Finance,625.0,625.0
523,DN700,Social Sciences (options),475.0,474.0
524,DN710,Economics,534.0,532.0
525,DN720,Psychology,566.0,564.0
526,DN750,Social Policy and Sociology,421.0,
527,DK810,Accounting and Finance,307.0,307.0
528,DK816,Business Studies,301.0,301.0
529,DK820,Computing in Games Development,309.0,309.0
530,DK821,Computing in Software Development,320.0,316.0
531,DK822,Augmented and Virtual Reality,320.0,320.0
532,DK830,Building Surveying,305.0,
533,DK831,Architectural Technology,368.0,314.0
534,DK832,Construction Management,358.0,305.0
535,DK843,Engineering (Common Entry),404.0,391.0
536,DK844,Mechanical Engineering,336.0,336.0
537,DK845,Electrical and Electronic Engineering,331.0,331.0
538,DK846,Civil Engineering,371.0,371.0
539,DK850,International Tourism Management,303.0,303.0
540,DK861,Arts,302.0,302.0
541,DK862,Social Care,322.0,319.0
542,DK863,Creative Media,336.0,320.0
